trial_id,participant_id,passage_id,domain,topic,source,disclosure_condition,trust_competence,trust_integrity,trust_benevolence,trust_overall,perceived_credibility,information_quality,fact_check_intention,source_guess_blind
T0198,AF0066,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.0,3.2,3.3,3.2,3.6,3.5,6.6,N/A
T0199,AF0067,NEWS_02,news,AfCFTA Trade Progress,human,blind,4.4,4.2,5.1,4.3,4.0,4.3,3.2,human
T0200,AF0067,SCI_03,science,Nile Basin Water Stress,human,disclosed,5.3,5.4,5.3,5.4,5.8,5.2,1.6,N/A
T0201,AF0067,LEG_01,legal,African Court Land Rights,human,disclosed,4.4,3.6,3.8,3.8,3.6,4.0,2.7,N/A
T0202,AF0068,NEWS_01,news,African Union Climate Summit,llm,disclosed,3.8,3.5,3.2,3.3,3.4,2.9,5.0,N/A
T0203,AF0068,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,3.5,3.2,2.9,3.1,3.2,3.2,5.2,N/A
T0204,AF0068,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,4.3,4.3,4.9,4.2,4.7,4.0,2.4,human
T0205,AF0069,NEWS_04,news,East African Tech Startup Growth,human,blind,3.4,3.5,3.7,3.2,2.9,3.4,3.7,human
T0206,AF0069,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,5.4,5.5,5.5,5.5,5.6,5.9,2.1,N/A
T0207,AF0069,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.3,4.8,4.9,4.9,5.6,4.9,4.0,N/A
T0208,AF0070,NEWS_01,news,African Union Climate Summit,llm,disclosed,4.6,4.1,4.0,3.7,2.9,3.5,5.1,N/A
T0209,AF0070,SCI_04,science,Off-Grid Solar Africa,llm,blind,4.4,4.8,4.2,4.7,5.1,5.3,3.1,human
T0210,AF0070,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,1.2,1.2,1.7,1.4,1.6,1.4,6.9,N/A
T0211,AF0071,NEWS_04,news,East African Tech Startup Growth,human,disclosed,3.2,2.4,2.6,3.1,2.7,3.2,4.3,N/A
T0212,AF0071,SCI_04,science,Off-Grid Solar Africa,human,blind,5.1,5.4,5.2,5.4,5.2,5.7,2.4,llm
T0213,AF0071,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,5.0,4.5,4.8,4.8,5.0,5.2,3.4,N/A
T0214,AF0072,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,2.2,2.2,2.0,2.2,2.7,2.5,6.4,N/A
T0215,AF0072,SCI_03,science,Nile Basin Water Stress,llm,blind,6.3,5.6,5.8,6.0,5.9,5.9,1.0,llm
T0216,AF0072,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,1.0,1.3,1.0,1.0,1.2,1.0,6.3,N/A
T0217,AF0073,NEWS_03,news,Sahel Drought Food Security,human,blind,4.7,5.0,4.5,4.5,4.4,3.9,2.4,human
T0218,AF0073,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,disclosed,3.9,3.7,3.6,3.8,3.5,3.7,3.9,N/A
T0219,AF0073,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.0,3.7,3.6,4.0,4.3,3.8,3.0,N/A
T0220,AF0074,NEWS_03,news,Sahel Drought Food Security,llm,blind,3.9,3.9,3.9,4.1,4.2,4.6,2.8,human
T0221,AF0074,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,4.0,4.1,3.9,4.0,4.0,4.5,4.2,N/A
T0222,AF0074,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,2.7,2.9,3.0,2.9,2.8,2.8,4.6,N/A
T0223,AF0075,NEWS_04,news,East African Tech Startup Growth,human,disclosed,3.9,3.4,4.2,3.5,4.2,3.3,4.2,N/A
T0224,AF0075,SCI_04,science,Off-Grid Solar Africa,human,blind,5.6,5.7,5.7,5.7,5.4,5.8,1.8,llm
T0225,AF0075,LEG_01,legal,African Court Land Rights,human,disclosed,5.3,4.9,5.2,5.3,5.3,5.9,2.1,N/A
T0226,AF0076,NEWS_01,news,African Union Climate Summit,llm,disclosed,4.1,3.5,4.0,4.0,4.2,4.0,4.3,N/A
T0227,AF0076,SCI_04,science,Off-Grid Solar Africa,llm,blind,3.8,4.1,4.2,4.0,3.9,5.0,2.4,human
T0228,AF0076,LEG_01,legal,African Court Land Rights,llm,disclosed,3.1,2.4,3.3,2.9,2.9,3.1,5.8,N/A
T0229,AF0077,NEWS_01,news,African Union Climate Summit,human,disclosed,2.9,3.0,3.1,3.2,3.4,2.9,5.1,N/A
T0230,AF0077,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,5.7,5.0,5.3,5.4,5.1,5.1,2.8,human
T0231,AF0077,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.9,5.1,4.4,4.9,4.8,4.8,2.8,N/A
T0232,AF0078,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.6,3.3,3.3,3.5,3.6,3.8,5.6,N/A
T0233,AF0078,SCI_03,science,Nile Basin Water Stress,llm,disclosed,2.2,1.7,2.7,2.5,2.8,2.6,5.8,N/A
T0234,AF0078,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,5.0,5.0,4.5,5.3,5.4,5.5,1.3,human
T0235,AF0079,NEWS_01,news,African Union Climate Summit,human,disclosed,4.8,4.9,5.2,4.9,4.9,5.0,4.4,N/A
T0236,AF0079,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.3,4.6,4.9,4.3,3.9,4.7,3.2,N/A
T0237,AF0079,LEG_02,legal,Kenya Data Protection Enforcement,human,blind,4.3,3.2,3.5,3.8,4.3,3.7,4.2,llm
T0238,AF0080,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,3.8,3.8,3.8,3.7,3.7,3.1,3.7,N/A
T0239,AF0080,SCI_02,science,H3Africa Genomics Hypertension,llm,blind,3.5,3.3,3.2,3.3,3.5,3.4,5.3,human
T0240,AF0080,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,3.4,2.6,3.2,3.2,3.3,3.6,4.3,N/A
T0241,AF0081,NEWS_03,news,Sahel Drought Food Security,human,blind,4.3,4.3,4.0,4.1,4.3,3.6,3.1,llm
T0242,AF0081,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.1,3.8,4.0,4.2,4.3,4.2,2.8,N/A
T0243,AF0081,LEG_01,legal,African Court Land Rights,human,disclosed,2.8,2.8,3.1,3.0,3.1,3.1,4.2,N/A
T0244,AF0082,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.4,3.9,3.7,4.3,3.9,4.6,3.1,N/A
T0245,AF0082,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,1.7,1.5,1.3,1.6,1.5,1.8,6.7,N/A
T0246,AF0082,LEG_01,legal,African Court Land Rights,llm,blind,3.1,4.2,3.1,3.6,3.6,3.8,4.0,human
T0247,AF0083,NEWS_01,news,African Union Climate Summit,human,disclosed,6.6,6.1,5.8,5.9,5.7,6.4,1.0,N/A
T0248,AF0083,SCI_03,science,Nile Basin Water Stress,human,disclosed,6.3,6.0,6.2,6.0,5.9,5.7,1.2,N/A
T0249,AF0083,LEG_03,legal,ICC African Union Jurisdiction,human,blind,4.7,4.7,4.1,4.6,4.5,5.1,2.8,human
T0250,AF0084,NEWS_03,news,Sahel Drought Food Security,llm,blind,4.8,4.8,4.8,4.7,4.7,4.4,4.0,llm
T0251,AF0084,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,1.2,1.0,1.3,1.1,1.5,1.1,7.0,N/A
T0252,AF0084,LEG_01,legal,African Court Land Rights,llm,disclosed,3.7,2.8,2.5,2.7,3.2,2.5,4.9,N/A
T0253,AF0085,NEWS_04,news,East African Tech Startup Growth,human,disclosed,5.1,5.0,5.5,5.3,5.5,5.4,2.7,N/A
T0254,AF0085,SCI_04,science,Off-Grid Solar Africa,human,blind,5.3,5.2,5.4,5.3,5.4,5.2,1.8,llm
T0255,AF0085,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,5.7,5.3,4.8,5.4,5.8,5.2,2.5,N/A
T0256,AF0086,NEWS_03,news,Sahel Drought Food Security,llm,blind,5.0,5.2,3.7,4.6,4.5,5.0,3.6,llm
T0257,AF0086,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,3.2,3.7,3.2,3.5,3.9,3.3,5.7,N/A
T0258,AF0086,LEG_01,legal,African Court Land Rights,llm,disclosed,2.2,2.5,1.7,2.1,2.3,2.1,5.9,N/A
T0259,AF0087,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,6.6,6.1,6.3,6.5,7.0,6.7,1.0,N/A
T0260,AF0087,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.8,4.8,4.4,4.5,4.3,4.3,2.6,N/A
T0261,AF0087,LEG_01,legal,African Court Land Rights,human,blind,5.0,5.9,5.1,5.2,5.6,5.6,2.9,llm
T0262,AF0088,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,3.5,2.7,2.9,3.1,3.1,3.1,4.8,N/A
T0263,AF0088,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,2.2,2.5,1.6,2.2,2.2,2.5,5.6,N/A
T0264,AF0088,LEG_03,legal,ICC African Union Jurisdiction,llm,blind,3.8,3.8,4.1,3.9,4.1,4.0,4.4,llm
T0265,AF0089,NEWS_01,news,African Union Climate Summit,human,disclosed,6.1,5.2,4.9,5.3,5.6,5.8,3.4,N/A
T0266,AF0089,SCI_02,science,H3Africa Genomics Hypertension,human,blind,5.0,4.6,4.8,4.6,4.5,4.3,2.3,llm
T0267,AF0089,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.5,3.8,4.6,4.3,4.1,4.0,2.9,N/A
T0268,AF0090,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,3.2,2.8,3.3,2.8,3.2,3.1,5.9,N/A
T0269,AF0090,SCI_02,science,H3Africa Genomics Hypertension,llm,blind,5.1,4.8,4.8,5.0,5.2,4.4,2.3,llm
T0270,AF0090,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.2,3.1,2.8,2.9,2.9,3.3,5.5,N/A
T0271,AF0091,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.6,4.4,4.2,4.5,4.5,4.9,1.8,N/A
T0272,AF0091,SCI_03,science,Nile Basin Water Stress,human,disclosed,3.6,3.8,3.8,3.9,3.9,3.6,2.5,N/A
T0273,AF0091,LEG_04,legal,South Africa Mining Charter,human,blind,5.8,5.6,5.6,5.9,5.9,6.5,1.0,human
T0274,AF0092,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,4.0,3.9,4.3,4.0,4.3,4.2,4.9,N/A
T0275,AF0092,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.7,3.9,3.2,3.6,4.1,3.8,2.3,N/A
T0276,AF0092,LEG_01,legal,African Court Land Rights,llm,blind,3.8,4.2,3.8,3.8,4.6,3.7,3.7,llm
T0277,AF0093,NEWS_01,news,African Union Climate Summit,human,disclosed,5.2,5.6,6.0,5.4,5.7,5.6,2.1,N/A
T0278,AF0093,SCI_02,science,H3Africa Genomics Hypertension,human,blind,4.9,4.5,4.5,4.6,4.6,4.6,3.0,llm
T0279,AF0093,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.2,4.2,4.5,4.0,4.0,3.3,2.7,N/A
T0280,AF0094,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,2.1,1.8,1.2,1.8,2.1,1.7,5.4,N/A
T0281,AF0094,SCI_03,science,Nile Basin Water Stress,llm,blind,4.5,4.2,3.7,4.3,4.2,5.0,3.0,human
T0282,AF0094,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,3.1,2.8,3.1,2.9,3.0,2.7,6.0,N/A
T0283,AF0095,NEWS_04,news,East African Tech Startup Growth,human,blind,4.6,4.6,4.4,4.6,4.5,4.0,3.6,llm
T0284,AF0095,SCI_03,science,Nile Basin Water Stress,human,disclosed,6.1,5.6,5.9,6.0,6.1,5.8,2.6,N/A
T0285,AF0095,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.8,4.6,4.7,4.5,4.8,5.5,3.4,N/A
T0286,AF0096,NEWS_01,news,African Union Climate Summit,llm,disclosed,1.3,2.2,2.3,2.2,2.4,2.0,5.5,N/A
T0287,AF0096,SCI_03,science,Nile Basin Water Stress,llm,disclosed,3.0,3.8,2.9,3.1,3.3,3.3,5.6,N/A
T0288,AF0096,LEG_01,legal,African Court Land Rights,llm,blind,4.0,3.7,4.0,3.8,4.0,3.8,4.1,human
T0289,AF0097,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,4.2,4.9,4.3,4.2,4.3,4.3,4.1,N/A
T0290,AF0097,SCI_02,science,H3Africa Genomics Hypertension,human,blind,5.6,5.5,5.7,5.4,5.2,4.7,2.0,human
T0291,AF0097,LEG_01,legal,African Court Land Rights,human,disclosed,4.4,4.1,4.3,4.3,4.2,4.5,3.7,N/A
T0292,AF0098,NEWS_04,news,East African Tech Startup Growth,llm,blind,5.7,5.4,5.4,5.6,5.6,5.2,2.2,human
T0293,AF0098,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,4.5,4.4,3.8,4.2,4.3,4.9,3.6,N/A
T0294,AF0098,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,2.3,3.2,2.7,2.4,2.3,2.3,5.5,N/A
T0295,AF0099,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.8,4.7,4.2,4.8,4.9,4.8,3.3,N/A
T0296,AF0099,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,3.1,3.1,3.5,3.6,3.0,3.4,4.3,N/A
T0297,AF0099,LEG_04,legal,South Africa Mining Charter,human,blind,3.4,3.4,3.6,3.6,3.6,3.5,4.4,llm
T0298,AF0100,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,3.1,3.9,3.5,3.4,3.4,3.8,4.2,N/A
T0299,AF0100,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,blind,4.7,4.8,4.9,4.5,4.8,4.2,1.8,human
T0300,AF0100,LEG_04,legal,South Africa Mining Charter,llm,disclosed,2.1,1.3,2.1,1.7,1.5,1.9,5.0,N/A
T0301,AF0101,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,7.0,6.9,6.7,6.7,7.0,6.9,1.1,N/A
T0302,AF0101,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,4.1,4.0,4.2,4.5,4.5,4.3,2.3,N/A
T0303,AF0101,LEG_02,legal,Kenya Data Protection Enforcement,human,blind,5.6,5.2,5.1,5.6,5.7,5.5,1.2,human
T0304,AF0102,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,4.4,4.2,4.5,4.4,4.4,4.1,3.8,N/A
T0305,AF0102,SCI_03,science,Nile Basin Water Stress,llm,blind,4.2,4.5,4.4,4.5,4.5,4.6,3.0,llm
T0306,AF0102,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.5,2.6,3.3,3.2,3.4,3.6,3.9,N/A
T0307,AF0103,NEWS_03,news,Sahel Drought Food Security,human,disclosed,4.8,4.1,4.4,4.3,4.5,4.2,3.1,N/A
T0308,AF0103,SCI_04,science,Off-Grid Solar Africa,human,blind,5.0,4.7,3.6,4.2,4.3,3.5,3.5,llm
T0309,AF0103,LEG_04,legal,South Africa Mining Charter,human,disclosed,5.1,5.4,4.7,5.1,4.9,5.7,3.6,N/A
T0310,AF0104,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,2.7,3.6,2.7,2.8,2.7,2.3,6.8,N/A
T0311,AF0104,SCI_04,science,Off-Grid Solar Africa,llm,blind,4.9,4.2,5.0,4.7,4.7,4.6,3.3,human
T0312,AF0104,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,1.9,2.2,1.6,1.9,1.9,1.6,7.0,N/A
T0313,AF0105,NEWS_02,news,AfCFTA Trade Progress,human,blind,5.2,4.5,4.6,4.8,4.8,5.4,2.3,human
T0314,AF0105,SCI_03,science,Nile Basin Water Stress,human,disclosed,5.4,5.7,5.2,5.6,5.7,5.3,2.5,N/A
T0315,AF0105,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,4.2,3.5,3.8,3.8,4.1,3.8,3.9,N/A
T0316,AF0106,NEWS_02,news,AfCFTA Trade Progress,llm,blind,5.7,5.3,6.3,5.7,5.3,5.3,1.8,human
T0317,AF0106,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.2,3.2,3.1,3.0,3.2,3.2,5.3,N/A
T0318,AF0106,LEG_01,legal,African Court Land Rights,llm,disclosed,3.1,3.3,3.5,3.3,2.9,3.0,4.6,N/A
T0319,AF0107,NEWS_02,news,AfCFTA Trade Progress,human,blind,4.0,3.7,3.8,4.3,4.4,4.9,4.4,human
T0320,AF0107,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.5,4.2,4.6,4.3,4.6,4.3,4.3,N/A
T0321,AF0107,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.3,5.1,4.2,4.9,5.1,4.4,3.6,N/A
T0322,AF0108,NEWS_04,news,East African Tech Startup Growth,llm,disclosed,3.9,3.2,4.0,4.0,4.4,4.1,5.1,N/A
T0323,AF0108,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,4.5,4.4,3.9,4.2,4.3,4.6,3.6,N/A
T0324,AF0108,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,4.3,4.8,4.8,4.5,4.1,4.2,4.7,human
T0325,AF0109,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.8,4.5,4.8,4.8,5.2,4.9,3.5,N/A
T0326,AF0109,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,5.5,4.5,4.4,5.1,5.5,4.9,2.6,human
T0327,AF0109,LEG_04,legal,South Africa Mining Charter,human,disclosed,5.9,5.7,5.8,5.6,5.3,5.1,2.2,N/A
T0328,AF0110,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,3.5,3.3,3.1,3.0,3.3,2.7,5.0,N/A
T0329,AF0110,SCI_03,science,Nile Basin Water Stress,llm,blind,4.5,4.3,4.8,4.7,5.0,4.8,3.7,human
T0330,AF0110,LEG_01,legal,African Court Land Rights,llm,disclosed,4.1,4.4,3.5,3.7,3.8,4.1,3.5,N/A
T0331,AF0111,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,2.8,3.0,2.2,3.0,2.7,3.1,4.3,N/A
T0332,AF0111,SCI_04,science,Off-Grid Solar Africa,human,blind,4.9,4.2,4.3,4.4,4.8,4.7,2.7,llm
T0333,AF0111,LEG_04,legal,South Africa Mining Charter,human,disclosed,6.1,6.1,5.5,5.8,6.0,6.0,3.0,N/A
T0334,AF0112,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.0,3.6,3.2,3.7,3.7,3.6,5.1,N/A
T0335,AF0112,SCI_03,science,Nile Basin Water Stress,llm,blind,3.6,3.9,3.5,3.6,3.4,3.5,3.6,human
T0336,AF0112,LEG_01,legal,African Court Land Rights,llm,disclosed,4.7,3.8,4.3,4.2,4.7,4.1,4.8,N/A
T0337,AF0113,NEWS_02,news,AfCFTA Trade Progress,human,blind,4.1,3.8,4.2,4.0,4.1,4.3,5.0,human
T0338,AF0113,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.6,4.2,4.0,4.1,4.0,4.5,3.3,N/A
T0339,AF0113,LEG_04,legal,South Africa Mining Charter,human,disclosed,4.3,4.3,3.6,4.4,5.0,4.0,2.4,N/A
T0340,AF0114,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,3.6,4.2,3.5,3.8,3.5,4.2,4.7,N/A
T0341,AF0114,SCI_03,science,Nile Basin Water Stress,llm,blind,5.7,5.3,5.6,5.4,5.1,5.0,3.6,human
T0342,AF0114,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.3,2.8,3.3,3.4,3.2,3.0,4.7,N/A
T0343,AF0115,NEWS_03,news,Sahel Drought Food Security,human,disclosed,3.3,3.4,2.9,3.4,3.0,3.7,5.2,N/A
T0344,AF0115,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,5.5,6.3,5.5,5.7,6.0,5.5,2.3,N/A
T0345,AF0115,LEG_02,legal,Kenya Data Protection Enforcement,human,blind,4.6,4.7,4.2,4.7,4.8,5.1,1.9,human
T0346,AF0116,NEWS_02,news,AfCFTA Trade Progress,llm,disclosed,4.6,4.2,4.0,4.1,4.1,4.8,2.8,N/A
T0347,AF0116,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,2.4,2.6,2.1,2.5,2.4,2.7,6.2,N/A
T0348,AF0116,LEG_02,legal,Kenya Data Protection Enforcement,llm,blind,5.8,6.4,6.2,5.9,5.9,6.1,1.8,llm
T0349,AF0117,NEWS_01,news,African Union Climate Summit,human,blind,3.7,3.5,4.1,4.0,4.1,4.4,5.2,llm
T0350,AF0117,SCI_03,science,Nile Basin Water Stress,human,disclosed,3.8,3.5,2.1,3.4,3.5,3.7,3.8,N/A
T0351,AF0117,LEG_04,legal,South Africa Mining Charter,human,disclosed,6.0,5.7,5.2,6.0,5.7,6.3,1.0,N/A
T0352,AF0118,NEWS_01,news,African Union Climate Summit,llm,blind,4.2,4.4,3.9,4.1,4.5,4.0,3.1,human
T0353,AF0118,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,llm,disclosed,4.7,4.0,4.0,4.3,4.7,4.4,3.1,N/A
T0354,AF0118,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.2,3.0,2.4,2.9,2.7,2.7,5.5,N/A
T0355,AF0119,NEWS_01,news,African Union Climate Summit,human,blind,3.6,3.7,3.9,3.6,3.2,3.4,4.0,human
T0356,AF0119,SCI_03,science,Nile Basin Water Stress,human,disclosed,6.5,5.9,6.1,6.1,6.2,6.1,1.7,N/A
T0357,AF0119,LEG_01,legal,African Court Land Rights,human,disclosed,6.3,6.6,6.4,6.2,6.0,6.9,2.4,N/A
T0358,AF0120,NEWS_02,news,AfCFTA Trade Progress,llm,blind,4.7,5.0,4.2,4.6,4.8,4.5,2.4,human
T0359,AF0120,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.8,3.5,3.6,3.6,3.4,3.6,4.5,N/A
T0360,AF0120,LEG_01,legal,African Court Land Rights,llm,disclosed,2.3,1.9,1.8,1.9,1.9,1.9,5.9,N/A
T0361,AF0121,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.5,3.8,4.3,4.0,3.9,4.2,3.5,N/A
T0362,AF0121,SCI_01,science,Malaria Vaccine Rollout Sub-Saharan Africa,human,blind,4.5,4.6,4.9,4.5,4.4,4.2,1.8,human
T0363,AF0121,LEG_02,legal,Kenya Data Protection Enforcement,human,disclosed,2.5,3.2,3.1,3.0,3.1,2.6,4.4,N/A
T0364,AF0122,NEWS_03,news,Sahel Drought Food Security,llm,blind,5.0,5.2,5.0,4.9,5.1,5.2,2.3,llm
T0365,AF0122,SCI_02,science,H3Africa Genomics Hypertension,llm,disclosed,2.6,3.0,2.9,2.9,3.6,2.9,5.4,N/A
T0366,AF0122,LEG_04,legal,South Africa Mining Charter,llm,disclosed,3.3,3.1,3.2,3.0,2.5,3.6,5.1,N/A
T0367,AF0123,NEWS_04,news,East African Tech Startup Growth,human,disclosed,4.5,4.7,4.8,4.7,4.4,4.4,3.1,N/A
T0368,AF0123,SCI_02,science,H3Africa Genomics Hypertension,human,blind,4.5,4.5,4.3,4.7,4.8,4.8,2.2,llm
T0369,AF0123,LEG_03,legal,ICC African Union Jurisdiction,human,disclosed,4.7,4.6,4.4,4.8,5.2,4.5,2.5,N/A
T0370,AF0124,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,3.9,3.2,3.2,3.5,3.7,3.6,4.3,N/A
T0371,AF0124,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.0,4.1,3.0,3.4,3.7,3.2,5.1,N/A
T0372,AF0124,LEG_04,legal,South Africa Mining Charter,llm,blind,4.2,4.1,3.6,3.8,4.0,3.7,4.2,llm
T0373,AF0125,NEWS_03,news,Sahel Drought Food Security,human,blind,3.3,3.2,3.5,3.4,3.7,3.7,3.9,human
T0374,AF0125,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.5,4.3,4.7,4.4,4.1,5.0,3.9,N/A
T0375,AF0125,LEG_01,legal,African Court Land Rights,human,disclosed,6.0,6.1,5.5,5.9,6.3,6.8,2.2,N/A
T0376,AF0126,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,2.7,3.3,2.8,3.2,2.9,3.3,4.7,N/A
T0377,AF0126,SCI_03,science,Nile Basin Water Stress,llm,blind,3.9,4.5,4.1,3.9,3.9,4.2,2.9,llm
T0378,AF0126,LEG_02,legal,Kenya Data Protection Enforcement,llm,disclosed,3.1,2.5,2.2,2.7,3.0,2.8,6.0,N/A
T0379,AF0127,NEWS_02,news,AfCFTA Trade Progress,human,disclosed,6.3,5.5,6.2,5.9,6.2,6.1,2.0,N/A
T0380,AF0127,SCI_03,science,Nile Basin Water Stress,human,disclosed,4.9,4.6,4.4,4.6,4.8,4.7,1.5,N/A
T0381,AF0127,LEG_01,legal,African Court Land Rights,human,blind,5.0,4.4,4.4,4.3,4.1,4.8,3.9,human
T0382,AF0128,NEWS_01,news,African Union Climate Summit,llm,blind,4.2,4.1,3.6,4.2,4.6,5.2,2.8,human
T0383,AF0128,SCI_03,science,Nile Basin Water Stress,llm,disclosed,1.6,1.9,2.0,2.0,2.0,1.9,5.5,N/A
T0384,AF0128,LEG_03,legal,ICC African Union Jurisdiction,llm,disclosed,3.3,3.3,3.0,3.2,3.1,3.5,4.7,N/A
T0385,AF0129,NEWS_03,news,Sahel Drought Food Security,human,blind,6.1,6.0,5.9,6.2,6.5,6.2,1.0,llm
T0386,AF0129,SCI_02,science,H3Africa Genomics Hypertension,human,disclosed,5.8,5.8,5.3,5.4,5.2,5.9,1.9,N/A
T0387,AF0129,LEG_01,legal,African Court Land Rights,human,disclosed,4.1,4.4,4.5,4.1,4.1,4.4,4.6,N/A
T0388,AF0130,NEWS_03,news,Sahel Drought Food Security,llm,disclosed,3.6,3.8,3.3,3.7,3.7,3.9,5.5,N/A
T0389,AF0130,SCI_03,science,Nile Basin Water Stress,llm,disclosed,3.8,4.3,3.5,3.8,4.0,4.1,3.6,N/A
T0390,AF0130,LEG_01,legal,African Court Land Rights,llm,blind,3.8,3.9,4.2,3.7,3.5,3.9,4.0,human
T0391,AF0131,NEWS_03,news,Sahel Drought Food Security,human,blind,5.2,4.8,4.7,4.8,5.2,4.4,1.5,llm
T0392,AF0131,SCI_03,science,Nile Basin Water Stress,human,disclosed,4.4,4.2,4.0,4.1,4.7,4.7,1.9,N/A
T0393,AF0131,LEG_04,legal,South Africa Mining Charter,human,disclosed,5.5,5.5,5.4,5.6,5.6,6.4,2.8,N/A
T0394,AF0132,NEWS_01,news,African Union Climate Summit,llm,blind,5.2,4.6,4.6,4.8,4.9,4.5,3.6,human
T0395,AF0132,SCI_04,science,Off-Grid Solar Africa,llm,disclosed,3.9,3.7,3.8,3.7,3.3,3.8,5.2,N/A
T0396,AF0132,LEG_01,legal,African Court Land Rights,llm,disclosed,3.8,3.1,3.4,3.5,3.5,3.4,3.4,N/A
T0397,AF0133,NEWS_04,news,East African Tech Startup Growth,human,disclosed,3.9,3.8,3.8,3.8,3.9,3.9,2.6,N/A
T0398,AF0133,SCI_04,science,Off-Grid Solar Africa,human,disclosed,4.5,4.4,4.2,4.2,4.0,5.1,4.2,N/A
T0399,AF0133,LEG_03,legal,ICC African Union Jurisdiction,human,blind,5.6,5.1,5.3,5.1,5.3,5.4,3.8,human
