participant_id,country,region,age,gender,education,occupation,primary_language,urban_rural,internet_access,news_consumption_platform,ai_use_frequency,ai_literacy_score,source_condition
AF0177,Ghana,West Africa,22,Woman,Secondary school certificate,Government/Civil service,English,Urban,Broadband/WiFi,Television,Often (weekly),2.25,human
AF0178,Nigeria,West Africa,32,Man,Master's degree,Farmer/Agriculture,Hausa,Peri-urban,No regular internet,WhatsApp/Social media,Never,2.75,llm
AF0179,Cameroon,Central Africa,33,Woman,Master's degree,Healthcare worker,Bamileke,Rural,No regular internet,WhatsApp/Social media,Sometimes (monthly),2.75,human
AF0180,Zimbabwe,Southern Africa,36,Woman,Secondary school certificate,Informal sector/Trader,English,Rural,No regular internet,Radio,Never,3.75,llm
AF0181,Nigeria,West Africa,26,Woman,Bachelor's degree,Business/Finance,English,Rural,Mobile data (4G),Radio,Often (weekly),3.0,human
AF0182,Nigeria,West Africa,31,Woman,Some university/college,Farmer/Agriculture,Hausa,Rural,Mobile data (4G),Newspaper (print),Never,4.25,llm
AF0183,Tanzania,East Africa,18,Woman,Some university/college,Student,Swahili,Urban,Mobile data (2G/3G),Online news site,Often (weekly),2.75,human
AF0184,Ethiopia,East Africa,32,Man,Bachelor's degree,Farmer/Agriculture,English,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),3.5,llm
AF0185,Ghana,West Africa,24,Woman,Master's degree,Teacher/Educator,Ewe,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.5,human
AF0186,Zambia,Southern Africa,28,Woman,Bachelor's degree,Informal sector/Trader,Nyanja,Rural,Mobile data (2G/3G),Television,Never,2.0,llm
AF0187,Kenya,East Africa,32,Woman,Bachelor's degree,Informal sector/Trader,Kamba,Urban,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),4.5,human
AF0188,Kenya,East Africa,22,Man,Less than secondary school,Business/Finance,Swahili,Urban,Mobile data (4G),Newspaper (print),Sometimes (monthly),3.5,llm
AF0189,Uganda,East Africa,40,Woman,Some university/college,Farmer/Agriculture,Luganda,Rural,Mobile data (2G/3G),Online news site,Sometimes (monthly),3.0,human
AF0190,South Africa,Southern Africa,29,Woman,Some university/college,Healthcare worker,Sotho,Peri-urban,Mobile data (4G),Television,Sometimes (monthly),3.5,llm
AF0191,Zambia,Southern Africa,38,Man,Secondary school certificate,Self-employed/Entrepreneur,Bemba,Peri-urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.75,human
AF0192,South Africa,Southern Africa,25,Woman,Less than secondary school,Self-employed/Entrepreneur,Afrikaans,Rural,Mobile data (4G),Television,Rarely (a few times a year),3.0,llm
AF0193,Nigeria,West Africa,18,Woman,Secondary school certificate,Self-employed/Entrepreneur,Yoruba,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),2.5,human
AF0194,Ethiopia,East Africa,30,Woman,Master's degree,Teacher/Educator,Somali,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.25,llm
AF0195,Tanzania,East Africa,24,Woman,Secondary school certificate,Government/Civil service,Sukuma,Urban,Mobile data (4G),WhatsApp/Social media,Often (weekly),2.25,human
AF0196,Nigeria,West Africa,18,Woman,Less than secondary school,Teacher/Educator,Igbo,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.5,llm
AF0197,Kenya,East Africa,25,Non-binary,Bachelor's degree,Business/Finance,Swahili,Rural,Mobile data (2G/3G),Radio,Often (weekly),2.25,human
AF0198,Nigeria,West Africa,36,Woman,Bachelor's degree,Farmer/Agriculture,Igbo,Urban,Mobile data (2G/3G),Radio,Often (weekly),3.75,llm
AF0199,South Africa,Southern Africa,33,Woman,Master's degree,Student,Xhosa,Urban,Broadband/WiFi,Online news site,Daily,3.5,human
AF0200,Kenya,East Africa,33,Man,Bachelor's degree,Self-employed/Entrepreneur,Swahili,Urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),3.5,llm
AF0201,Ghana,West Africa,25,Woman,Some university/college,Farmer/Agriculture,Ewe,Urban,Mobile data (4G),WhatsApp/Social media,Often (weekly),4.5,human
AF0202,Nigeria,West Africa,38,Woman,Secondary school certificate,Student,Hausa,Urban,Mobile data (4G),Online news site,Sometimes (monthly),4.0,llm
AF0203,Cameroon,Central Africa,42,Man,Bachelor's degree,Self-employed/Entrepreneur,French,Urban,Mobile data (4G),WhatsApp/Social media,Daily,2.25,human
AF0204,Uganda,East Africa,25,Woman,Bachelor's degree,Healthcare worker,Luganda,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.5,llm
AF0205,Nigeria,West Africa,32,Woman,Master's degree,Healthcare worker,Pidgin English,Urban,Mobile data (4G),Online news site,Often (weekly),3.5,human
AF0206,Ghana,West Africa,45,Man,Secondary school certificate,Student,Ewe,Urban,No regular internet,Radio,Sometimes (monthly),3.5,llm
AF0207,Kenya,East Africa,18,Woman,Secondary school certificate,Business/Finance,Kamba,Urban,Mobile data (4G),Television,Rarely (a few times a year),4.0,human
AF0208,Senegal,West Africa,32,Woman,Master's degree,Informal sector/Trader,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),4.25,llm
AF0209,Nigeria,West Africa,21,Man,Secondary school certificate,Informal sector/Trader,English,Urban,Mobile data (2G/3G),Television,Rarely (a few times a year),3.5,human
AF0210,South Africa,Southern Africa,21,Woman,Some university/college,Self-employed/Entrepreneur,Sotho,Peri-urban,Broadband/WiFi,Newspaper (print),Sometimes (monthly),4.75,llm
AF0211,Kenya,East Africa,42,Woman,Master's degree,Government/Civil service,English,Urban,Mobile data (4G),WhatsApp/Social media,Daily,3.25,human
AF0212,Nigeria,West Africa,24,Woman,Some university/college,Student,Hausa,Urban,Mobile data (4G),Online news site,Sometimes (monthly),2.5,llm
AF0213,Ethiopia,East Africa,37,Woman,Master's degree,Self-employed/Entrepreneur,Oromo,Urban,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),3.0,human
AF0214,Nigeria,West Africa,27,Man,Less than secondary school,Business/Finance,Igbo,Rural,Mobile data (4G),WhatsApp/Social media,Daily,4.0,llm
AF0215,Ghana,West Africa,28,Woman,Bachelor's degree,Farmer/Agriculture,English,Rural,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0216,Ethiopia,East Africa,21,Woman,Some university/college,Healthcare worker,Amharic,Urban,Mobile data (2G/3G),Online news site,Often (weekly),2.75,llm
AF0217,Nigeria,West Africa,30,Woman,Master's degree,Student,Igbo,Rural,Mobile data (2G/3G),WhatsApp/Social media,Often (weekly),3.0,human
AF0218,Kenya,East Africa,47,Woman,Secondary school certificate,Government/Civil service,English,Peri-urban,Broadband/WiFi,WhatsApp/Social media,Often (weekly),4.0,llm
AF0219,Nigeria,West Africa,22,Woman,Some university/college,Engineer/Technology,Yoruba,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.0,human
AF0220,Zambia,Southern Africa,36,Woman,Secondary school certificate,Teacher/Educator,Bemba,Rural,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),2.5,llm
AF0221,Nigeria,West Africa,23,Man,Master's degree,Government/Civil service,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),3.25,human
AF0222,Kenya,East Africa,29,Woman,Master's degree,Self-employed/Entrepreneur,Luo,Rural,Mobile data (4G),Radio,Daily,3.75,llm
AF0223,South Africa,Southern Africa,26,Woman,Some university/college,Student,Zulu,Urban,Mobile data (4G),Newspaper (print),Often (weekly),3.75,human
AF0224,Ghana,West Africa,26,Man,Some university/college,Engineer/Technology,Twi (Akan),Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),4.25,llm
AF0225,Rwanda,East Africa,23,Woman,Bachelor's degree,Student,Kinyarwanda,Rural,Mobile data (4G),Online news site,Rarely (a few times a year),3.0,human
AF0226,South Africa,Southern Africa,34,Prefer not to say,Bachelor's degree,Healthcare worker,Zulu,Urban,Mobile data (4G),Television,Often (weekly),4.0,llm
AF0227,Senegal,West Africa,27,Man,Bachelor's degree,Business/Finance,French,Urban,Mobile data (4G),Television,Sometimes (monthly),2.75,human
AF0228,South Africa,Southern Africa,18,Woman,Less than secondary school,Engineer/Technology,Tswana,Peri-urban,Broadband/WiFi,Social media,Sometimes (monthly),4.0,llm
AF0229,Nigeria,West Africa,34,Woman,Some university/college,Informal sector/Trader,Yoruba,Rural,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.75,human
AF0230,Ghana,West Africa,25,Man,Bachelor's degree,Farmer/Agriculture,English,Peri-urban,Broadband/WiFi,Radio,Sometimes (monthly),2.75,llm
AF0231,South Africa,Southern Africa,18,Non-binary,Secondary school certificate,Farmer/Agriculture,Zulu,Urban,Mobile data (4G),Radio,Sometimes (monthly),2.5,human
AF0232,Nigeria,West Africa,23,Woman,Bachelor's degree,Healthcare worker,Hausa,Urban,Mobile data (4G),Radio,Rarely (a few times a year),2.25,llm
AF0233,Ethiopia,East Africa,19,Woman,Some university/college,Engineer/Technology,Amharic,Peri-urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),2.75,human
AF0234,Tanzania,East Africa,18,Woman,Secondary school certificate,Teacher/Educator,Swahili,Rural,Mobile data (4G),Radio,Rarely (a few times a year),3.0,llm
AF0235,Kenya,East Africa,27,Man,Secondary school certificate,Healthcare worker,Kikuyu,Peri-urban,Mobile data (2G/3G),Radio,Never,3.5,human
AF0236,Uganda,East Africa,23,Woman,Secondary school certificate,Informal sector/Trader,Luganda,Peri-urban,Mobile data (4G),Radio,Daily,3.75,llm
AF0237,Ghana,West Africa,44,Woman,Bachelor's degree,Unemployed/Seeking work,Ewe,Rural,Mobile data (2G/3G),Online news site,Rarely (a few times a year),2.25,human
AF0238,Ethiopia,East Africa,23,Non-binary,Some university/college,Engineer/Technology,English,Urban,No regular internet,Radio,Rarely (a few times a year),3.25,llm
AF0239,Uganda,East Africa,38,Woman,Master's degree,Informal sector/Trader,Swahili,Urban,Mobile data (4G),WhatsApp/Social media,Often (weekly),2.5,human
AF0240,Nigeria,West Africa,36,Woman,Master's degree,Engineer/Technology,Hausa,Urban,Broadband/WiFi,Online news site,Rarely (a few times a year),2.5,llm
AF0241,Nigeria,West Africa,31,Woman,Bachelor's degree,Informal sector/Trader,Igbo,Peri-urban,Mobile data (2G/3G),Online news site,Rarely (a few times a year),2.75,human
AF0242,Cameroon,Central Africa,35,Man,Bachelor's degree,Farmer/Agriculture,Ewondo,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),3.0,llm
AF0243,Zambia,Southern Africa,18,Woman,Bachelor's degree,Informal sector/Trader,Nyanja,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),2.75,human
AF0244,Senegal,West Africa,28,Man,Bachelor's degree,Business/Finance,Serer,Urban,Mobile data (4G),WhatsApp/Social media,Often (weekly),2.75,llm
AF0245,Uganda,East Africa,32,Man,Doctoral/professional degree,Farmer/Agriculture,English,Peri-urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.0,human
AF0246,Senegal,West Africa,29,Woman,Master's degree,Government/Civil service,French,Rural,No regular internet,WhatsApp/Social media,Often (weekly),2.75,llm
AF0247,Tanzania,East Africa,26,Woman,Some university/college,Farmer/Agriculture,Chaga,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Often (weekly),3.5,human
AF0248,Ethiopia,East Africa,20,Woman,Some university/college,Engineer/Technology,Amharic,Rural,No regular internet,Radio,Never,3.5,llm
AF0249,Zimbabwe,Southern Africa,26,Woman,Some university/college,Healthcare worker,Ndebele,Urban,Mobile data (4G),WhatsApp/Social media,Never,3.0,human
AF0250,Nigeria,West Africa,36,Woman,Master's degree,Student,Igbo,Urban,Mobile data (2G/3G),Radio,Often (weekly),2.75,llm
AF0251,Cameroon,Central Africa,27,Man,Secondary school certificate,Business/Finance,French,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.25,human
AF0252,Cameroon,Central Africa,28,Man,Doctoral/professional degree,Farmer/Agriculture,French,Rural,Mobile data (2G/3G),Radio,Sometimes (monthly),3.25,llm
AF0253,Ethiopia,East Africa,26,Man,Bachelor's degree,Government/Civil service,Oromo,Urban,Mobile data (4G),Radio,Never,3.25,human
AF0254,Ethiopia,East Africa,28,Woman,Bachelor's degree,Farmer/Agriculture,Oromo,Urban,Mobile data (2G/3G),Newspaper (print),Sometimes (monthly),3.0,llm
AF0255,Kenya,East Africa,27,Woman,Secondary school certificate,Self-employed/Entrepreneur,Kamba,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.5,human
AF0256,South Africa,Southern Africa,23,Woman,Secondary school certificate,Student,English,Rural,Broadband/WiFi,Newspaper (print),Daily,2.75,llm
AF0257,Nigeria,West Africa,28,Man,Bachelor's degree,Informal sector/Trader,Pidgin English,Urban,Mobile data (4G),Radio,Never,3.5,human
AF0258,Ghana,West Africa,30,Woman,Bachelor's degree,Teacher/Educator,Dagbani,Urban,Mobile data (4G),Online news site,Sometimes (monthly),3.0,llm
AF0259,Ethiopia,East Africa,30,Woman,Master's degree,Farmer/Agriculture,Amharic,Rural,Mobile data (4G),Radio,Rarely (a few times a year),4.25,human
AF0260,Senegal,West Africa,18,Man,Some university/college,Government/Civil service,Pulaar,Urban,No regular internet,Radio,Never,2.5,llm
AF0261,Uganda,East Africa,22,Man,Some university/college,Farmer/Agriculture,English,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),4.25,human
AF0262,South Africa,Southern Africa,31,Man,Some university/college,Engineer/Technology,English,Urban,Broadband/WiFi,Online news site,Sometimes (monthly),3.5,llm
AF0263,Ethiopia,East Africa,18,Woman,Bachelor's degree,Student,Amharic,Rural,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.25,human
AF0264,South Africa,Southern Africa,36,Man,Less than secondary school,Farmer/Agriculture,Zulu,Urban,Mobile data (4G),Television,Rarely (a few times a year),3.75,llm
AF0265,Nigeria,West Africa,44,Woman,Master's degree,Government/Civil service,Yoruba,Peri-urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.25,human
AF0266,Nigeria,West Africa,25,Man,Bachelor's degree,Unemployed/Seeking work,Yoruba,Urban,Mobile data (4G),Radio,Sometimes (monthly),3.5,llm
AF0267,South Africa,Southern Africa,37,Man,Secondary school certificate,Informal sector/Trader,English,Urban,Mobile data (2G/3G),Online news site,Sometimes (monthly),2.0,human
AF0268,Senegal,West Africa,33,Woman,Bachelor's degree,Informal sector/Trader,English,Urban,Broadband/WiFi,Online news site,Often (weekly),2.25,llm
AF0269,Kenya,East Africa,18,Woman,Some university/college,Informal sector/Trader,Luo,Peri-urban,Mobile data (4G),Television,Often (weekly),2.75,human
AF0270,Zambia,Southern Africa,34,Woman,Some university/college,Government/Civil service,Tonga,Rural,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),3.25,llm
AF0271,Nigeria,West Africa,32,Woman,Some university/college,Informal sector/Trader,Pidgin English,Urban,Mobile data (4G),Newspaper (print),Often (weekly),4.25,human
AF0272,Nigeria,West Africa,44,Man,Secondary school certificate,Healthcare worker,Hausa,Urban,Mobile data (4G),Online news site,Often (weekly),5.0,llm
AF0273,Ethiopia,East Africa,29,Man,Master's degree,Teacher/Educator,Oromo,Peri-urban,Mobile data (4G),Television,Never,2.5,human
AF0274,Nigeria,West Africa,18,Woman,Bachelor's degree,Informal sector/Trader,Igbo,Urban,Mobile data (2G/3G),Television,Rarely (a few times a year),3.5,llm
AF0275,Nigeria,West Africa,34,Man,Bachelor's degree,Business/Finance,Igbo,Urban,Broadband/WiFi,Radio,Daily,3.25,human
AF0276,South Africa,Southern Africa,24,Man,Bachelor's degree,Engineer/Technology,English,Rural,Mobile data (4G),Online news site,Often (weekly),4.25,llm
AF0277,Ethiopia,East Africa,39,Woman,Secondary school certificate,Farmer/Agriculture,English,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),2.25,human
AF0278,Kenya,East Africa,29,Man,Secondary school certificate,Student,Kikuyu,Peri-urban,Mobile data (4G),Online news site,Often (weekly),4.0,llm
AF0279,Nigeria,West Africa,40,Man,Bachelor's degree,Engineer/Technology,Pidgin English,Urban,Mobile data (4G),Radio,Sometimes (monthly),3.75,human
AF0280,Nigeria,West Africa,19,Woman,Bachelor's degree,Government/Civil service,Yoruba,Rural,Mobile data (4G),WhatsApp/Social media,Often (weekly),2.25,llm
AF0281,Zimbabwe,Southern Africa,32,Man,Secondary school certificate,Healthcare worker,English,Urban,Mobile data (4G),Radio,Often (weekly),3.75,human
AF0282,Nigeria,West Africa,28,Woman,Some university/college,Self-employed/Entrepreneur,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),2.25,llm
AF0283,Nigeria,West Africa,25,Woman,Bachelor's degree,Government/Civil service,Hausa,Urban,Mobile data (2G/3G),WhatsApp/Social media,Often (weekly),4.25,human
AF0284,Kenya,East Africa,29,Man,Bachelor's degree,Engineer/Technology,Swahili,Rural,Mobile data (2G/3G),Radio,Rarely (a few times a year),4.25,llm
AF0285,Rwanda,East Africa,24,Man,Some university/college,Informal sector/Trader,Kinyarwanda,Urban,Mobile data (2G/3G),WhatsApp/Social media,Daily,2.75,human
AF0286,South Africa,Southern Africa,48,Woman,Secondary school certificate,Student,Tswana,Urban,Broadband/WiFi,Online news site,Rarely (a few times a year),3.75,llm
AF0287,Ethiopia,East Africa,30,Man,Some university/college,Farmer/Agriculture,Amharic,Rural,Mobile data (2G/3G),Television,Sometimes (monthly),3.0,human
AF0288,Ghana,West Africa,36,Woman,Secondary school certificate,Farmer/Agriculture,English,Urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.25,llm
AF0289,Kenya,East Africa,35,Man,Master's degree,Farmer/Agriculture,Swahili,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Often (weekly),4.0,human
AF0290,South Africa,Southern Africa,21,Man,Secondary school certificate,Student,Xhosa,Urban,Mobile data (2G/3G),Television,Often (weekly),3.75,llm
AF0291,Kenya,East Africa,19,Man,Some university/college,Business/Finance,Swahili,Urban,Mobile data (4G),WhatsApp/Social media,Never,4.0,human
AF0292,Ghana,West Africa,34,Woman,Bachelor's degree,Healthcare worker,Ga,Rural,Mobile data (4G),WhatsApp/Social media,Never,1.75,llm
AF0293,South Africa,Southern Africa,30,Woman,Bachelor's degree,Self-employed/Entrepreneur,Xhosa,Urban,Mobile data (4G),Social media,Rarely (a few times a year),2.75,human
AF0294,South Africa,Southern Africa,39,Man,Some university/college,Teacher/Educator,Zulu,Urban,Broadband/WiFi,Social media,Sometimes (monthly),3.0,llm
AF0295,Tanzania,East Africa,30,Man,Bachelor's degree,Student,Swahili,Rural,Mobile data (4G),Radio,Often (weekly),4.0,human
AF0296,Ethiopia,East Africa,21,Non-binary,Bachelor's degree,Farmer/Agriculture,Oromo,Urban,Mobile data (2G/3G),WhatsApp/Social media,Often (weekly),5.0,llm
AF0297,Nigeria,West Africa,40,Man,Master's degree,Government/Civil service,Yoruba,Urban,Mobile data (4G),Radio,Often (weekly),4.5,human
AF0298,Nigeria,West Africa,30,Man,Bachelor's degree,Self-employed/Entrepreneur,English,Urban,Mobile data (2G/3G),Radio,Sometimes (monthly),2.0,llm
AF0299,Ghana,West Africa,24,Man,Secondary school certificate,Student,Twi (Akan),Urban,Mobile data (2G/3G),Radio,Never,2.75,human
AF0300,Tanzania,East Africa,29,Man,Master's degree,Teacher/Educator,Swahili,Rural,No regular internet,WhatsApp/Social media,Never,3.5,llm
AF0301,Kenya,East Africa,30,Man,Doctoral/professional degree,Farmer/Agriculture,English,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),2.75,human
AF0302,South Africa,Southern Africa,23,Woman,Some university/college,Government/Civil service,Sotho,Urban,Mobile data (2G/3G),Newspaper (print),Daily,2.0,llm
AF0303,Zambia,Southern Africa,38,Man,Bachelor's degree,Government/Civil service,Nyanja,Rural,Mobile data (4G),Television,Sometimes (monthly),3.75,human
AF0304,South Africa,Southern Africa,25,Woman,Secondary school certificate,Student,Sotho,Peri-urban,No regular internet,Social media,Sometimes (monthly),2.25,llm
AF0305,Rwanda,East Africa,22,Woman,Less than secondary school,Self-employed/Entrepreneur,English,Rural,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.5,human
AF0306,Nigeria,West Africa,35,Woman,Bachelor's degree,Teacher/Educator,Yoruba,Urban,No regular internet,Television,Sometimes (monthly),2.75,llm
AF0307,Ethiopia,East Africa,18,Man,Some university/college,Student,Oromo,Rural,Mobile data (2G/3G),Television,Often (weekly),3.25,human
AF0308,South Africa,Southern Africa,44,Man,Less than secondary school,Self-employed/Entrepreneur,English,Urban,Mobile data (2G/3G),Radio,Never,3.25,llm
AF0309,Nigeria,West Africa,28,Man,Master's degree,Student,English,Peri-urban,Mobile data (4G),WhatsApp/Social media,Never,3.5,human
AF0310,Ethiopia,East Africa,23,Woman,Master's degree,Healthcare worker,Amharic,Rural,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),4.0,llm
AF0311,Nigeria,West Africa,29,Man,Bachelor's degree,Teacher/Educator,Hausa,Rural,Broadband/WiFi,Radio,Sometimes (monthly),2.25,human
AF0312,Nigeria,West Africa,41,Woman,Bachelor's degree,Student,Yoruba,Urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),3.5,llm
AF0313,Kenya,East Africa,20,Man,Secondary school certificate,Farmer/Agriculture,English,Rural,Mobile data (4G),Radio,Rarely (a few times a year),4.0,human
AF0314,Cameroon,Central Africa,32,Man,Secondary school certificate,Teacher/Educator,English,Urban,Mobile data (4G),WhatsApp/Social media,Never,2.25,llm
AF0315,Uganda,East Africa,21,Man,Secondary school certificate,Teacher/Educator,Luganda,Urban,Mobile data (4G),Radio,Never,4.25,human
AF0316,Nigeria,West Africa,34,Man,Master's degree,Teacher/Educator,Hausa,Rural,Broadband/WiFi,WhatsApp/Social media,Sometimes (monthly),3.75,llm
AF0317,Nigeria,West Africa,29,Man,Doctoral/professional degree,Teacher/Educator,English,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),3.5,human
AF0318,Zambia,Southern Africa,22,Man,Secondary school certificate,Farmer/Agriculture,English,Rural,Mobile data (2G/3G),Radio,Daily,3.75,llm
AF0319,South Africa,Southern Africa,32,Man,Secondary school certificate,Teacher/Educator,English,Urban,Mobile data (2G/3G),Online news site,Rarely (a few times a year),3.75,human
AF0320,South Africa,Southern Africa,26,Woman,Secondary school certificate,Engineer/Technology,Zulu,Urban,Mobile data (2G/3G),Social media,Rarely (a few times a year),1.75,llm
AF0321,South Africa,Southern Africa,21,Man,Secondary school certificate,Unemployed/Seeking work,Afrikaans,Urban,Mobile data (4G),Social media,Often (weekly),3.5,human
AF0322,Kenya,East Africa,40,Woman,Less than secondary school,Self-employed/Entrepreneur,Swahili,Rural,Mobile data (4G),Online news site,Sometimes (monthly),4.25,llm
AF0323,Zambia,Southern Africa,23,Man,Master's degree,Informal sector/Trader,Nyanja,Urban,Mobile data (2G/3G),Radio,Rarely (a few times a year),2.25,human
AF0324,Kenya,East Africa,27,Woman,Master's degree,Teacher/Educator,English,Urban,Broadband/WiFi,WhatsApp/Social media,Never,3.0,llm
AF0325,Kenya,East Africa,23,Man,Less than secondary school,Self-employed/Entrepreneur,Kikuyu,Rural,Mobile data (4G),Radio,Sometimes (monthly),2.0,human
AF0326,Tanzania,East Africa,31,Woman,Bachelor's degree,Teacher/Educator,English,Rural,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),3.25,llm
AF0327,South Africa,Southern Africa,28,Woman,Some university/college,Teacher/Educator,Zulu,Rural,Broadband/WiFi,Newspaper (print),Rarely (a few times a year),4.0,human
AF0328,Nigeria,West Africa,18,Man,Bachelor's degree,Farmer/Agriculture,Hausa,Rural,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),2.0,llm
AF0329,Tanzania,East Africa,41,Woman,Secondary school certificate,Informal sector/Trader,Swahili,Peri-urban,Broadband/WiFi,Radio,Sometimes (monthly),3.0,human
AF0330,Kenya,East Africa,38,Prefer not to say,Doctoral/professional degree,Government/Civil service,Swahili,Peri-urban,Mobile data (4G),Radio,Sometimes (monthly),3.0,llm
AF0331,Tanzania,East Africa,30,Woman,Master's degree,Teacher/Educator,Swahili,Peri-urban,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),4.25,human
AF0332,Kenya,East Africa,28,Woman,Master's degree,Student,Swahili,Peri-urban,Mobile data (4G),WhatsApp/Social media,Rarely (a few times a year),2.25,llm
AF0333,Kenya,East Africa,43,Woman,Master's degree,Teacher/Educator,Kamba,Peri-urban,Mobile data (4G),Radio,Rarely (a few times a year),2.25,human
AF0334,Kenya,East Africa,42,Woman,Secondary school certificate,Healthcare worker,English,Urban,Mobile data (2G/3G),Television,Sometimes (monthly),3.25,llm
AF0335,South Africa,Southern Africa,29,Man,Master's degree,Business/Finance,Zulu,Urban,Broadband/WiFi,Online news site,Never,4.25,human
AF0336,Nigeria,West Africa,22,Woman,Bachelor's degree,Student,Hausa,Rural,Mobile data (2G/3G),WhatsApp/Social media,Rarely (a few times a year),2.25,llm
AF0337,Tanzania,East Africa,28,Woman,Bachelor's degree,Self-employed/Entrepreneur,Chaga,Peri-urban,Mobile data (4G),WhatsApp/Social media,Sometimes (monthly),4.5,human
AF0338,Nigeria,West Africa,28,Woman,Secondary school certificate,Farmer/Agriculture,Igbo,Urban,Mobile data (4G),Radio,Sometimes (monthly),3.25,llm
AF0339,Tanzania,East Africa,39,Man,Secondary school certificate,Business/Finance,Sukuma,Rural,No regular internet,Television,Sometimes (monthly),1.75,human
AF0340,Nigeria,West Africa,28,Woman,Some university/college,Informal sector/Trader,Igbo,Urban,Mobile data (2G/3G),Television,Rarely (a few times a year),2.75,llm
AF0341,South Africa,Southern Africa,32,Man,Master's degree,Unemployed/Seeking work,Tswana,Urban,Broadband/WiFi,Social media,Rarely (a few times a year),3.75,human
AF0342,South Africa,Southern Africa,38,Woman,Secondary school certificate,Unemployed/Seeking work,Tswana,Urban,Broadband/WiFi,Social media,Sometimes (monthly),4.5,llm
AF0343,Nigeria,West Africa,21,Woman,Some university/college,Teacher/Educator,English,Rural,Mobile data (2G/3G),WhatsApp/Social media,Sometimes (monthly),1.75,human
AF0344,Rwanda,East Africa,34,Woman,Some university/college,Government/Civil service,English,Urban,Mobile data (2G/3G),WhatsApp/Social media,Daily,2.5,llm
AF0345,Tanzania,East Africa,18,Woman,Bachelor's degree,Healthcare worker,Swahili,Rural,Mobile data (4G),Newspaper (print),Never,2.75,human
AF0346,South Africa,Southern Africa,41,Non-binary,Secondary school certificate,Engineer/Technology,English,Peri-urban,Mobile data (4G),Online news site,Rarely (a few times a year),2.75,llm
AF0347,Nigeria,West Africa,25,Man,Bachelor's degree,Self-employed/Entrepreneur,Igbo,Urban,Mobile data (4G),Radio,Often (weekly),4.25,human
AF0348,Kenya,East Africa,38,Woman,Some university/college,Business/Finance,Swahili,Rural,Broadband/WiFi,WhatsApp/Social media,Rarely (a few times a year),3.5,llm
AF0349,Zambia,Southern Africa,24,Woman,Secondary school certificate,Farmer/Agriculture,English,Peri-urban,Mobile data (2G/3G),Radio,Never,3.0,human
AF0350,Tanzania,East Africa,27,Man,Master's degree,Informal sector/Trader,Swahili,Peri-urban,Broadband/WiFi,Radio,Sometimes (monthly),2.75,llm
AF0351,Nigeria,West Africa,20,Woman,Bachelor's degree,Business/Finance,Pidgin English,Peri-urban,Mobile data (4G),Television,Often (weekly),5.0,human
AF0352,South Africa,Southern Africa,30,Non-binary,Some university/college,Teacher/Educator,Xhosa,Urban,Mobile data (4G),Online news site,Often (weekly),4.5,llm
